Source,Abbreviation,Content,Rating,Cleaned Content,Stemmed Content,Language,Segmented Content
AL KAHRABA,KAHRABA,"

The app is not suitable for human use.",1,the app is not suitable for human use,app not suitable human use,en,the app is not suitable for human use
AL KAHRABA,KAHRABA,"
App is not working. Keep crashing with errors.",1,app is not working keep crashing with errors,app not work keep crash error,en,app is not working keep crashing with errors
Report Trade Violation,RTV,"
The app crashes every time I open it. This is a long time problem. I even deleted it and installed it again, but it the problem remains.",1,the app crashes every time i open it this is a long time problem i even deleted it and installed it again but it the problem remains,app crash every time I open long time problem I even delete instal problem remain,en,the app crashes every time i open it this is a long time problem i even deleted it and installed it again but it the problem remains
"Communication, Space and Technology Commission",CST,"
This application and its employees do not do their work professionally or credibly, so I do not advise you to trust their dealings 👎",1,this application and its employees do not do their work professionally or credibly so i do not advise you to trust their dealings,application employee not work professionally credibly I not advise trust dealing,en,this application and its employees do not do their work professionally or credibly so i do not advise you to trust their dealings
Report Trade Violation,RTV,  Application is not working and doesn't make any sense,1,application is not working and does not make any sense,application not work not make sense,en,application is not working and does not make any sense
SAUDIA,SAUDIA, ! always neeed updates!,1,always need updates,always need update,en,always need updates
SPL Online ,SPL, app is not working properly,1,app is not working properly,app not work properly,en,app is not working properly
Report Trade Violation,RTV,‏ Application is a complete failure it crashes does not work at all,1,‏ application is a complete failure it crashes does not work at all,‏ application complete failure crash not work,en,application is a complete failure it crashes does not work at all
Kollona Amn,Kollona Amn, Authorization has been denied for this request.,1,authorization has been denied for this request,authorization deny request,en,authorization has been denied for this request
SPL Online ,SPL," cannot log-in, always says ERROR TRY AGAIN LATER",1,cannot login always says error try again later,not login always say error try later,en,cannot login always says error try again later
Discounts,Discounts, doesn't work,1,does not work,not work,en,does not work
Baiena,Baiena, Doesn't work on rooted devices,1,does not work on rooted devices,not work root device,en,does not work on rooted devices
AL KAHRABA,KAHRABA," Error during system call, connection reset by peer. ",1,error during system call connection reset by peer,error system call connection reset peer,en,error during system call connection reset by peer
Report Trade Violation,RTV," every time I tries to open the application it kicks me out, I tried to delete it and download it again but the problem it’s still there.",1,every time i tries to open the application it kicks me out i tried to delete it and download it again but the problem it is still there,every time I try open application kick I I try delete download problem still,en,every time i tries to open the application it kicks me out i tried to delete it and download it again but the problem it is still there
Saudi Railway,SAR, Expensive ,1,expensive,expensive,en,expensive
SAUDIA,SAUDIA," how would you spend money advertising on an app that doesn't make a booking which is your core business. The problem is when you choose dates on a return ticket then click done, departure date will show nothing and you can't proceed to next step, an immediate uninstall till you fix the problem, thanks.",1,how would you spend money advertising on an app that does not make a booking which is your core business the problem is when you choose dates on a return ticket then click done departure date will show nothing and you cannot proceed to next step an immediate uninstall till you fix the problem thanks,would spend money advertising app not make booking core business problem choose date return ticket click departure date show nothing not proceed next step immediate uninstall till fix problem thank,en,how would you spend money advertising on an app that does not make a booking which is your core business the problem is when you choose dates on a return ticket then click done departure date will show nothing and you cannot proceed to next step an immediate uninstall till you fix the problem thanks
SPL Online ,SPL, I can't register my national Id through both the Application and website. After receiving OTP the page is automatically going back to the registration page. Kindly resolve the issue as soon as possible.,1,i cannot register my national id through both the application and website after receiving otp the page is automatically going back to the registration page kindly resolve the issue as soon as possible,I not register national application website receive otp page automatically go back registration page kindly resolve issue soon possible,en,i cannot register my national id through both the application and website after receiving otp the page is automatically going back to the registration page kindly resolve the issue as soon as possible
SPL Online ,SPL," if you charge the balance, you cannot use it, and you would just pay the money to keep there with no access to your own money",1,if you charge the balance you cannot use it and you would just pay the money to keep there with no access to your own money,charge balance not use would pay money keep no access money,en,if you charge the balance you cannot use it and you would just pay the money to keep there with no access to your own money
SPL Online ,SPL, im expecting to have my item but when i open the apps it shows i have i received it but it already cancel ,1,i am expecting to have my item but when i open the apps it shows i have i received it but it already cancel,I expect item I open app show I I receive already cancel,en,i am expecting to have my item but when i open the apps it shows i have i received it but it already cancel
"Communication, Space and Technology Commission",CST, it is showing invalid file type during uploading pic. ,1,it is showing invalid file type during uploading pic,show invalid file type upload pic,en,it is showing invalid file type during uploading pic
"Communication, Space and Technology Commission",CST, my complaint closed without any connecting by CICT representative which is unprofessional action,1,my complaint closed without any connecting by cict representative which is unprofessional action,complaint close without connect cict representative unprofessional action,en,my complaint closed without any connecting by cict representative which is unprofessional action
